ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-04316	في ناس كدا مجرد مانكلمهم لو دقيقة بنحس براحة وبنبقي فرحانين حتى لو قلنا ازيكوا وردوا بس ب الله يسلمك 💕	joy	0.703
2018-Ar-04394	صباح الذوق والرقة والجمال صباحك حلو متل نفسك الطيبة صباحك زرع اجمل تعابير الكلام وزهر ابتسم من حلو انفاسك 🍃 🌸 🍃	joy	0.609
2018-Ar-01292	اذا بانت البسمه على وجهك احس إني انا المسرور❤.	joy	0.797
2018-Ar-02996	المشكلة الحقيقية انك بتبقى مندفع بالنشوة دي وبتقفز قفزات واسعة والانفتاح بيساعدك ع دا ومبيبخلش عليك …	joy	0.391
2018-Ar-00669	صيغة تفكير مريحة : أنا قوي بربي أنا أشعر بالسعادة لأن ربي يرعاني أنا مطمئن لأن كل ما يقدره الله خير لي اللهم لك الحمد 🖤	joy	0.766
2018-Ar-04334	و من اول بكره تبدء قاعات الافراح و مواكب الزفاف زواج سعيد لهم بأمر الله في موسم التكاثر #داود	joy	0.547
2018-Ar-03252	@nadinenjeim #عرس_عليا_جبل زواج الملوك 😹😍😍😍😍😍❤ شو بدو يصبرنا لبكرا	joy	0.548
2018-Ar-03525	اليوم ميلادها ويا عساها من اليوم لين الف سنه الضحكه تحتويها❤️	joy	0.531
2018-Ar-02879	عيد ميلاد سعيد للفنانة الجميلة قمر طارق من الاردن من محبيكي و متابع لجميع أعمالك الفنية	joy	0.422
2018-Ar-02751	إنت عيدي و أجمل أيام العمر و إنت فرحة قلبي و حظي الجميل كل عام وانت لعيدي فرحه 💙 #عيدي_اجمل_بوجود	joy	0.859
2018-Ar-00589	مساء الخير اتمنى لكم يوم خفيف جميل مفعم بالحيوية والنشاط	joy	0.417
2018-Ar-02805	@_sokon_ @vd04401 اللهم امين يارب العالمين واشكرك همس القلوب مش الروح على متابعتك الطيبه السعيده الجميله مثلك	joy	0.563
2018-Ar-02418	حبيبت قلبى انتي من يزعل منك بس نمازحك 💔 😂	joy	0.406
2018-Ar-02811	مرحبا انا عندي شخص عن الف شخص دايما يعوض قلبي ويخلق الفرح لروحي طالما هو معاي المخاوف تنمحي والامان يحضني عموما انا حابة الحياة فيه❤❤	joy	0.688
2018-Ar-03097	🍃🕊\nحان وقت الأماني \nفاسألوا الله ما شئتم \nساعة استجابة \nابعثوا ما بخواطركم إلى السماء \nو اذكروني بدعوه معاكم	joy	0.375
2018-Ar-03510	القهوة ☕ لمن يعرفها مثلي هي أن تصنعها بنفسك لا أن تأتيك على طبق؛ لأن حامل الطبق هو حامل الكلام والقهوة رفيقة السكون مساؤكم طيبة وبهجة 🌷 🌹	joy	0.484
2018-Ar-03513	23_ بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️	joy	0.797
2018-Ar-00474	الضفدع ده مبسوط اكتر مني 😂\nربنا يرزقني ربع انشكاحه 🐸😂	joy	0.297
2018-Ar-00432	@ysyriana انستغرامك جميل بيبعث البهجة و الطمئنينة و خلى قلبي من جوا يبتسم	joy	0.796
2018-Ar-00355	- أنا حاسس إني #مبسوط\n- بعد الشر عليك إوعي تقول كدا تاني 😂	joy	0.563
2018-Ar-00845	@dentistaheba الله يبارك فيك وايهنيك هبوش تسلمي ياحبيبه والفال ليك يارب تفرحي بفرحك وبتخرجك افضل دكتوره	joy	0.563
2018-Ar-00326	#السعادة كن مع الله ولا تحسد أحدا ولا تحقد وعش ببساطة مهما علا شأنك توقع خيرا مهما كثر البلاء وتعلم العطاء ولا تنتظر الرد	joy	0.548
2018-Ar-03731	#بهجة_أمل \n٨٨.اجمل حاجة في الحياة لما ماما تشوفني مضايقة من شي و تقولي أمل من علمني دايما انو اي موقف مو كويس حيعدي و انو اضحكي و استانسي😍💕	joy	0.672
2018-Ar-03048	#بهجة_أمل ٤٧ صديقة أختي الصغيرة تجيب السعادة و الله هه كيوت 💕 💕 🙈	joy	0.871
2018-Ar-04156	هي حبيبتي عند الحب و صاحبتي عند المزاح نجمتي وقت العتمة و حنية الأم و الأب في تعبي وحيدة قلبي و كل البشر في وحدتي هي الكل و أنتهى 💚	joy	0.500
2018-Ar-04148	من إفطار شركة هاي وأي السياحية بمحافظة قنا لغير القادرين وشكرا لكل من ساهم في فرحة الأيتام وغير القادرين	joy	0.547
2018-Ar-02035	اجمل منطقة اسلامية حيوية في العالم الي يروح ليها مره هيرجعلها تاني	joy	0.516
2018-Ar-03828	#مطروح سحر الجمال  ايه أكثر مكان تحبه فى مطروح	joy	0.500
2018-Ar-02036	@Hameess شوف الكذابين والله دي أدى إلى انبساط وانشكاح شعبي 😂😂	joy	0.422
2018-Ar-02067	ألذ شعور بالعالم لما يجيك شخص تعابير وجهه مليئة بالحماس والتشويق ويرسل إيحاءات وإشارات لإستدراجك لسؤاله "شصار " وما تسأله	joy	0.531
2018-Ar-00296	يوم جميل: 🌹 #فرحة أطفال #سماء ملبدة بالغيوم #لمعان البروق #صوت الرعد #وبدر ملهم❤	joy	0.758
2018-Ar-01463	#لليله_القدر_وعلاماتها الطمأنينة أي طمأنينة القلب وانشراح الصدر من المؤمن فإنه يجد راحة وطمأنينة وانشراح صدر في تلك الليلة	joy	0.547
2018-Ar-03722	يارب البسمة اشوفها دايماً ع وجيه اهلي يارب تبعد الضيق عن قلوبهم 💭💜*.	joy	0.516
2018-Ar-00671	رضا الصبح وانشراحه ما يتغير خصوصا صباحات رمضان 💖 ✨	joy	0.613
2018-Ar-00076	كل عام وأنتم بخير وصحة وعافية 🌷 تقبل الله منا ومنكم صالح الأعمال عيدكم مبارك وفرحة وسعادة وهنا عساكم من عواده	joy	0.688
2018-Ar-00394	بحة صوتك تمليني رضا	joy	0.516
2018-Ar-02073	#فرحة وطرحة #	joy	0.581
2018-Ar-01324	سبحان الله #رضى الوالدين له سحر عجيب	joy	0.375
2018-Ar-04336	#افرح وخلي الفرح ده عادة بتنام وتصحى عليه بعد #الرضا هاتلاقي سعادة واللي بتحلم بيه	joy	0.774
2018-Ar-02076	@79ixii المشكله في ضميرك مو الاكل\n اسفليه 😗	joy	0.234
2018-Ar-00436	بنبقى مبسوطين اوي و احنا بنلبس عشان نازلين نقابل صحابنا،\nبس بتبقى مبهجه اكتر وانت بتلبس ورايح تزور رسول الله(ص) \nاللهم تقبل\n#سعاده 💜	joy	0.828
2018-Ar-03639	أنا على ثقة بأن كرم الله سيمطر علي فرحا فأنتظاري ماهو إلا سحابة اثقلها دعائي في النهاية ستمطر غيمة أحلامي 🌧	joy	0.641
2018-Ar-02287	#التفاؤل أن تثق بأن هناك ثمة ضوء في آخر الطريق المظلم و بصيص أمل مع نهاية كل صبر و ظنا حسنا بالله لا يحجبه تشاؤم بشر	joy	0.359
2018-Ar-02358	كل عام وانت بخير وعيد سعيد وحياة مليئة بالافراح والمسرات ان شاء الله	joy	0.609
2018-Ar-00997	ودي ابني بيت لفقير محتاجه ودي اشوف فرحته و اعطيه عمل كأني بنيت له بداية الطريق و هو يكمل بنفسه الله شعور جميل 😭 💙 ✨ #حلمك_مع_طلبات	joy	0.484
2018-Ar-00130	ياعيد طلتك علينابها الهم ينزاح ويفرح بزولك كل طفلأ صغيري مايحمل من الدنيا سوى ضحك ومزاح وماهمه بالدنيا سوى الثوب الجديد #شور -بيت 18	joy	0.689
2018-Ar-01355	دع إبتسامتك هي أول ملامحك فهي لك #صحة وفي الدين #صدقة وفي القلب #سعادة ولمن حولك أثرا جميلا #	joy	0.661
2018-Ar-01178	كن شاكرا ما دمت حيا واعلم بأن الدنيا أيام تدوروقل دائماالحمد لله تعش دائما في سرور اللهم اجعلنا شاكرين لنعمك راضين بقضائك متلذذين بذكرك	joy	0.438
2018-Ar-00434	_ فرحت جدا ب فوز رويال مدريد \nمو لاني اشجعهم لا بس لانه بيتنا \nينعم بالفرح والسعاده كنه عرس \nواحد من اخواني	joy	0.703
2018-Ar-02002	عن حلاوة شيرين رضا والله	joy	0.406
2018-Ar-04220	@gom3aaaaaaaaa الموضوع كبير 😀	joy	0.234
2018-Ar-03310	@firstnamewaad يازين دوامي 😆	joy	0.219
2018-Ar-02410	انظر للحياة بعين النحلة الي تبحث عن الأزهار \nلا بعين الذبابة التي بحث عن ......	joy	0.250
2018-Ar-00056	دايم معاي مشغول ومع غيري فاضي نسئل نفسنا نحنا اش بالنسبه لك حب تسلية اذا ماتحبني خلك صريح وقلها لاتعيشني بوهم معاك وكل وأحد يروح بطريقة	joy	0.266
2018-Ar-04385	و تمر في بالي مثل الصبح مسرور شمسك تجيب النور و ضحكاتك ظلالي ❤️	joy	0.677
2018-Ar-03621	أمل حياتي\nالأغنية دي الحانها عظيمة بطريقة مبهرة والأغنية ككلمات مش لاقي فيها جمله او كوبليه او مقطع اي كلام الاغنية كلها لازم تتسحل معاها	joy	0.661
2018-Ar-03245	على سبيل السعادة هاد اول رمضان الي بدون دراسة من خمس سنين .. 😌✌🏼 #راحة_بال  #اللهم_لك_الحمد	joy	0.891
2018-Ar-04263	لبعض الإشتياق لذة بنكهة فريدة ؛ من طيب من نشتاقه 😊 #حنين	joy	0.453
2018-Ar-03042	ما كنت متخيل انها على ارض الواقع بهذا الجمال اه يا جماله بتزوجه خلاص لقيت اللي طولي عمري اتمناه و كان مالي المكان سعادة و متعة 😻 🔥	joy	0.734
2018-Ar-01216	أصحابي هم عيدي وعيدالسنين هم بسمة فرح وفرحة عمر كل عام وانتو معاي 👭 ❤❤	joy	0.750
2018-Ar-04144	استقبل صباحك بحفاوة وحماس وحب وكأنك في مقابلة لصديق مفضل استقبله مبتسما مشرقا وبعده سيتكفل برسم الفرح فوق وجهك❤☺ #قواعد_البهجه	joy	0.625
2018-Ar-02061	وبذكر الله واسمائه الحسنى أحصن سعادة عائلتنا لهذه الليلة وان لايشوبها نقص ولاحزن~ الهي استودعتك فرحة أختي وتمم لها~ 👰 🏼 👨 🏻 🙏 🏻 💗 #أفراح_آل_بخاري	joy	0.672
2018-Ar-00291	عشاق كرة القدم على موعد مع ملحمة كروية بعد قليل بين ريال مدريد والعملاق الالماني بايرن ميونخ مشاهدة ممتعة 😍 😍	joy	0.359
2018-Ar-03553	اللهم في يوم الجمعه أرزقنا حلو الحياة وخير العطاء وسعة في الرزق وراحة البال ولباس العافية وحسن الخاتمة اللهم صلي وسلم وبارك على سيدنا محمد	joy	0.328
2018-Ar-01192	15: مقصرة معاكى جدا غصب عنى والله اكيد زعلانة منى فأسفة بجد انتى طيبة ومبهجة وتتحبى والله ومتزعليش منى بالله ربنا يعلم معزتك ❤ 💕	joy	0.281
2018-Ar-03167	#ساعه_استجابه يا رب أعزني ووفقني في ديني وعلمي ومالي يا رب أمد لي السعادة والصحة وارزقني زوجة وذرية صالحين بارين ووفرة في المال	joy	0.484
2018-Ar-03467	🌹 لا تزعلين وتزعل الدنيا " معاك " ضحكتك فرحة ل السعيد ول الحزين حتى الفرح لو ضل دربه : إهتداك إنتي جميلة " فوق ما تتخيلين "	joy	0.563
2018-Ar-03915	بعد شوي بسمع اغنيه لهاري بصوته هو لحاله انا سعيده جدا	joy	0.781
2018-Ar-00897	عيش مع إللي يشتري الفرحة معك مايتخلى ولا يمل ولا يثقل عليك👌🏼	joy	0.435
2018-Ar-00586	#بهجة_أمل ١ عن السعادة اللي مو منطقية اللي أعيشها عن الفقاعات الملونة اللي تتوزع بجوا قلبي ياالله و شعور الفراشة المختلطة بألوان مرة كتير	joy	0.719
2018-Ar-04117	@Dhahi_Khalfan @TheBattar هههههه ثقافة مجاري وصرف صحي🚽✋ شو تتوقع منهم يعني! أرض جدك سوت مشاكل 😅	joy	0.323
2018-Ar-03568	معاك أعيش فرحة بدون حدود\nوأحبك حُب أكبر من مدى سنينك💉❤️..	joy	0.891
2018-Ar-03809	اعلان 500500 مبهج جداا بس ليه لميس	joy	0.422
2018-Ar-01658	#قل_لغالي_كلمه_تعايده_فيها گ نقاءآلمطرهي الولدة هي فرحتي ابتسامتهآ سعآدۿ وفرحتي تكتمل بوجودهاالي تمليني فرح دايماياعسى ربي يخليهاويحفضها	joy	0.578
2018-Ar-04010	افرح وعيش أنت غالي علينا، اوعى تحزن يوم \nبكرة هاترجع تضحك لينا هتنسى أي هموم ..\n#أصالة #افرح_وعيش \n@AssalaOfficial	joy	0.578
2018-Ar-03633	#فرحتي_نجاحي في مجتمعنا يرون أن إنجاب الذكر أمل والأنثى خيبة رغم أن حلم كل رجل أنثى وخيبة كل أنثى رجل ✋	joy	0.563
2018-Ar-01925	انتي كنز يجب المحافظة عليه	joy	0.391
2018-Ar-01213	#بهجة_أمل \n٨٩.*أمل لما أتكلم معاك أحس براحة نفسية و ما نفسي أوقف *\n*أمل انت قاعدة توريني الحياة من جهة ثانية و تفتح لي آفاق *💕💛🍭	joy	0.688
2018-Ar-00896	@mbc_fm @Ghada_AlAli هلا وغلا فيك صباح السعادة والرضا عليك وعلى المستمعين \nأشتقت أسمع صوتك من أول م دخلت الشهر م سمعت صوتك	joy	0.641
2018-Ar-03657	@OHelou2 عشان مش حنحس بهاي الفرحة في الجامعة  فخلينا نعيشها هلأ😂	joy	0.563
2018-Ar-03948	#بهجة_أمل \n١٢٥.تصفحت رسوماتي القديمة و شفت الفرررق و التطور واضح بينها وبين الجديدة *أنا سعييييدة جدا*😍😄💕نفس بالضبط لما الانسان يشتغل ع نفسه	joy	0.781
2018-Ar-01788	اللهم جدّد فينا روح التفاؤل والأمل ولا تجعلنا ضعفاء أمام ظروف الحياة.\n\n#علوان_الصيفان #التفاؤل	joy	0.453
2018-Ar-02905	مش ضروري لَبْس العيد فرحه بالقلوب الله يقدرنا على زرع الابتسامة والفرح  #شنو_بتلبس_بلعيد	joy	0.578
2018-Ar-01041	#الاهلي_ذوب_اهن ثقوا بالاهلي وإذا تاهت بكم الثقة مع الاهلي ثقوا بالفرح الذي لا يعرف المضي في طريق إلا مع الاهلي 😴 💚 #مبروك الفوزز ياملوك	joy	0.484
2018-Ar-00051	النقاش مع شخص تحبه وتثق فيه مفيد جدا في تخفيف التوتر والاكتئاب ويمنحك ثقة كبيرة في نفسك #متي_تتخلص_السعوديه_من_التشدد	joy	0.219
2018-Ar-00422	الي صان الارض يسلم 😃	joy	0.433
2018-Ar-02041	#اعيادنا_اثنين اللهم اهدنا اللهم اهدنا اللهم اهدنا هداية لا نرتد بعدها ابدا واسعدنا سعادة لا نشقى بعدها أبدا	joy	0.531
2018-Ar-02642	احلى اشي بسهرات الاعراس انك بتفرغ طاقتك السلبية وبتعيش الجو بفرحة وانبساط مع العريس واهله	joy	0.656
2018-Ar-02871	#فرحتي_بنجاحي مت بكئ اول ماشفت النتيجه نزلت ع ركعبي واصارخ ماضاع تعبي ماضاع تعبي واهلي شفيها ميته بكى ويدفوني اول ماشافوهم	joy	0.719
2018-Ar-00029	@AkramHosny حاجه كده تحفة #ريح_المدام 💕خفه دم حاجه لذيذه بتتفرج وانت مبتهج وبتضحك من قلبك بدون اسفاف ولاابتذال 🏆تستاهلو الكاس اكرم فهمي 💕	joy	0.750
2018-Ar-02263	مو أحياناً إلا دايماً\nضِحكتك جبْر خاطر.	joy	0.188
2018-Ar-02246	مجرد ابتسامة وحدة بتهز شدة صلابتي	joy	0.656
2018-Ar-00499	موكا موكا موكا موكا تنين حلو و ظريف تنين أخضر تنين مرح و لطيف تنيني الامهر 💙 💃	joy	0.516
2018-Ar-00764	عيد سعيد جدا 🙈 ما نعرف كلام كفار	joy	0.641
2018-Ar-03625	عن الشخص اللي يخلي الإبتسامة توصل لين قلبك	joy	0.625
2018-Ar-02783	#قااالولي عشان توقعها في حبك #ضحكها ~_|~\nو اول ما #ضحكت انا اللي وقعت💖😍💖\n❤...#اصل_الحكايه...	joy	0.578
2018-Ar-00543	أدركت حب الله لي في وجه امي ي وضحكة ابوي 💕	joy	0.594
2018-Ar-01927	بجيب لنفسي هدية ، وش تنصحوني اهديني؟.\n\n#فخرنا_منصور_الزهراني \n#الساهر_قيصر_الترند\n#البرنس_ريان_30k_محب	joy	0.406
2018-Ar-01532	@Sara_Ezat1 لا مش حاجه عامة،  زي المصريين فيهم كويسيين جدا وفيهم عربجية 😀، وفيهم دمهم تقيل  بس 😀	joy	0.242
2018-Ar-00902	ارتياح شعبي ورسمي بالغ لمحاصرة الإرهاب القطري - اليوم - السعودية	joy	0.417
2018-Ar-00134	عنجد انت شخص كلمة حب قليلة عليك وكلمة طيب كمان قليلة انت مو بس #فرحة_رمضان انت فرحة كل العالم 😍 ❤ #تركا_علينا	joy	0.766
2018-Ar-00593	يرى الله مكابدتك للحياة بقلب واثق به؛ اطمئن لن يضيعك 🌸 #طمأنينة	joy	0.422
2018-Ar-02483	#ArabsGotTalent ضحك مع مقلد اصوات الرسوم المتحركة	joy	0.547
2018-Ar-01125	#ميلاد_جميلتي_داليا\nعلى طاري ميلادها ف انا اول المنتظرين حكايه تروي يوم ميلاد صديقتي احبك يامن ستبلغين عمرا جديد 💕\n@daliahazza	joy	0.672
2018-Ar-00218	احياناً السعاده تكون ع هئيه شخص محد ينكر هالشيّ👌🏻..	joy	0.719
2018-Ar-03852	أمنية قلبي الوحيدة أن لا يريني الله بك حزن ولا يريني بك بعد فلا سعاده تأتي بدونك	joy	0.419
2018-Ar-02347	المشكله انه يضحك من قلب يعني مرره الضحكه قويه 💔	joy	0.484
2018-Ar-03383	ربما السالفه كذب لايوجد معلم يسويها لأنها مخالفه للنظام يعاقب عليها ربما يصل العقاب للنقل التأديبي أو التحويل إداري #معلم_لطلابه_لن_يرسب_احد	joy	0.125
2018-Ar-01740	يارب أيام جميلة و أخبار مفرحة و نفس مقتنعة و قلب مرتاح و راحة بال و توفيق من عندك 💕 ✨	joy	0.594
2018-Ar-01513	#نزوح وليس أجمل من فرحة طفل بعيد خرج المصلون من صلاة العيد ونحن جاهزون لاستلام العيديات #بوابة_حماة	joy	0.594
2018-Ar-01200	احساس رهيب بالفرحة اول ما شوفت الراجل علي اول الشارع بيبني فرن الكنافة ❤	joy	0.875
2018-Ar-03100	أشياء تبث السعادة ك رضا الله ورضا الوالدين إبتسامة الإخوة أناس أحبوك لله وفي الله سلامة الصدر وصفاء القلب ونقيه	joy	0.563
2018-Ar-00354	#الف_مبروك_800k_توام_سعادتنا\nاللهم اجعل ايام تؤامنا كلها بخير وسعاده وبأفضل حال شاهدين لكم لا عليكم تستاهلون وحنا معكم للملايين بأذن الله	joy	0.790
2018-Ar-02582	انا جدا فخور بمتابعيني فكلهم قمم من الرقي والتطور والأخلاق وأكثرهم مبدعين ومتألقين أودهم كلهم	joy	0.703
2018-Ar-01861	أحبك وصل وبعاد أحبك رضا وعناد (M)❤	joy	0.484
2018-Ar-04221	دووم الضحكه ي عمر 😂 😂 صدع راسه من الضحك 😂 💔 #المدهال_يوم69	joy	0.734
2018-Ar-01142	أن الحب يمكن أن تكون في كلمة #شكر بسيطة في عبارة #تشجيع في #إبتسامة رضا أو في #حضن تمنحه لصديق ما جفته من سنوات❤️ 😊 🙏 🏻 ❤️ 😊	joy	0.656
2018-Ar-00074	#من_جمال_تويتر انو ادخل الوقت اللي ابيه واغرد باللي ابيه وم في احد يعرفني ولله الحمد مرتاحه 😎 😂 🌚 💔	joy	0.547
2018-Ar-03250	لسة فى أمل 😄\nطالما التفاؤل موجود 😊\nلعله خير ^_^	joy	0.453
2018-Ar-00036	#اسامه_فقيه_بالمعزب السعادة ليست حلما ولا وهما بل هي تفاؤل وحسن ظن بالله وصبر بغير استعجال	joy	0.438
2018-Ar-04260	أحسست بالسعادة حين حققت حلم الطفولة و تعلمت بنفسي قيادة الدراجة 🚴 🏻 و تتجدد سعادتي كلما مارست هذه الهواية #سعادة	joy	0.844
2018-Ar-02969	انك تشوف حد عزيز عليك اوى مبسوط ده كفيل يخليك طاير من الفرحه 😍	joy	0.906
2018-Ar-02367	علي الكلثمي جمع مابين الفكاهة والطموح والصبر تعلمنا منك أشياء كثيرة منها طيبة القلب وتسامح العفوية #علي_الفارس_الفخم	joy	0.453
2018-Ar-02755	@silentonly87 مدري ليش حسيت بسعادة لانك مكروف 🙊	joy	0.703
2018-Ar-03904	وجه اذا ضحك ،تضحك معاه الدنيا وقلبي💭💕.	joy	0.750
2018-Ar-04045	ربي انظر إلى قلبها فإن وجدت حزن او ضيق فبدله فرحاً و اطمئنان وان وجدت هماً فأنزعه ,فهي شي ثمين لدي فاحفظها لي يارب💙	joy	0.344
2018-Ar-02039	هاي مش فكاهة مهو نقد سياسي 😂 انت هناك منزل اشي ضمن كاتيجوري الفكاهة " عأساس " 🙊 🙊	joy	0.306
2018-Ar-03256	#BF_باقي_3_ايام اللهم اجعل ختامها مسك وطيب بالافراح أيام قناة BF الغالية ويجعل طيب صيتها في الأعالي يارب العالمين	joy	0.531
2018-Ar-01745	@ahmed_kamal98 الخير ف اللي ربنا كاتبه يا احمد 😄	joy	0.234
2018-Ar-02043	@zahraelmasry15 احلى ابتسامه ربنا يتمم شفاكى ع خير والرب يكون معاكى دايما 😊	joy	0.594
2018-Ar-02449	@RoRita_mortada بستعجل لي خطوبتك الفي العيد دي انتي قايلة شنو 😂😂	joy	0.313
2018-Ar-00330	الأهم من الكتابة هو وضع اهداف قريبة وصغيره ، حاجه كدا اسمها #انتصارات_صغيره	joy	0.172
2018-Ar-02703	@malrubaa اجدت وافدت وقسما بالله انك ابدعت،ولا اعتقد ان احد شاهد هذي الحلقة وما ضحك من قلبه😂😂😂انت تملك روح الدعابة والطرفةمنقطعة النظير👍🏽👍🏽	joy	0.781
2018-Ar-00989	دايماً .. كنت على إستعداد تام للتضحيه بجميع ما أملك وأخسر جميع علاقاتي من أجل سماحة خاطري ورضا مزاجي ولا زلت.	joy	0.281
2018-Ar-03458	كل عام وانتم بخير والله يسعدكم سعاده م بعدها شقى وجعل عيونكم م تدمع الا دموع فرح ي رب للجميع بدون استثناء❤️❤️	joy	0.656
2018-Ar-04368	كيف يصير شعوري لاشفت الهلال,الله لو تحسون بالفرح لاشفت الهلال😴💙	joy	0.547
2018-Ar-01766	اتمنى المزز يرسلون سناباتهم ديم قبل العيد عشان انا اصير سعيدة لما اشوف الجمال٣	joy	0.531
2018-Ar-03212	@memomadridesta ايو صطيف قلبي الاحتفالات وين راح تنقل ؟	joy	0.406
2018-Ar-01665	منسم يقول لصيدلي\n\nعندك شريط بنادول؟\nقاله:نعم\n\nقاله: شغله خلناا نسمعه\n\nتضحك والا ماتضحك\n\nمافيه راتب الا يوم الخميس 😎🏃😂	joy	0.422
2018-Ar-01351	@efatxo @piunee ما عندي وقت "لهم" 😉 و مو شاغلة بالي بشيء و لا يهمني بس أحب أستفزكم بالحقيييييقة. بس انسي كلامي معك سار تافه باي 😘	joy	0.219
2018-Ar-00529	@e2osama @ihalarady نسيت نفسي ايه ياعم انا مش لاقي كلبه اسكت 😂😂\nالساعة ١٢ ومص يا بيبي وي توقيت مصر حاليا عادي 😍	joy	0.359
2018-Ar-04017	#بهجت_الساعاتي\nمثال لصاخب الي لو مسمعتش كلامه هتروح في داهيه 😓\nولو سمعت كلامه هتروح في ستين داهيه 😂😂\n@AkramHosny \n#ريح_المدام	joy	0.313
2018-Ar-00566	#إعلان #500500 يستحق جايزة اجمل اعلان لعام 2017 #بهجه #تفاؤل #لحن #إخراج عمل متكامل ويشجعك فعلا علي المساهمه في الخير ده #برافوو 👏 👏	joy	0.719
2018-Ar-01609	راحة البال #جوهرة كثيرة الثمن فى ايامنا هذه يابخت من يقتنيهاا 😗	joy	0.328
2018-Ar-01086	اجمل فرحة #مليون_معجبين	joy	0.766
2018-Ar-04057	الليله سترتدي عروستنا فستانها الأبيض وسيبقى زفافها أجمل حكاياتنا ف يارب تمم فرحتها وأقر قلبها ب السعادة 💜 💍	joy	0.797
2018-Ar-01559	باذن الله اجمل تفاؤل بالخير	joy	0.656
2018-Ar-02012	كل الشكر للاتحاد الى طلع عينه فعلا كل الشكر للدفعة عشان طلعوا حلوين بجد كل الشكر للناس الحلوة الى خلت اليوم مبهج وخلتنا مبسوطين اوى 💜 💙	joy	0.734
2018-Ar-01735	الحمد لله اولا واخراً اشكر جميع من تعب معانا من دكاترة واحلى عميد د.عبدالله  تحياتي لكم  #فرحتي_نجاحي	joy	0.734
2018-Ar-02503	- - - حلو" شعور الرضا يمنحك سعادة وطمأنينه • - #مزنة_المحمود #مساء_الخير #شعور #راحه	joy	0.797
2018-Ar-03492	رغبه قويه اعرف أخبار شخص انقعطت لمدة طويله فضول لا اكثر ولا اقل 😪	joy	0.188
2018-Ar-02455	صباحك انا وبكل سرور	joy	0.609
2018-Ar-03836	”مرحبا هذه تعتبر بداية جديدة وبداية نظيفة تماما أتمنى بأن تكون بداية سعيدة ولطيفة “	joy	0.609
2018-Ar-01313	@tsukivalo اوكي يعني النسخة الرسمية ذي هي الطبيعية أكثر؟ ملعوب علينا بنسخ الأنمي💔\nلا ماعندي دايم أحس مشوار يبي له&lt;؟	joy	0.109
2018-Ar-00709	من كثر #حبك يقولون مسحور وان كان #حبك سحر مبغى علاجه خله يسري #خافقن فيك مغرور ما دام سحرك غايته وابتهاجه قلبن #يحبك	joy	0.578
2018-Ar-01268	صباح الوجوه المشرقة الباسمة 🍃 والعيون البارقة 🍁 التي لا ترى سوى كل شيء جميل 🍃 صباحكم سعادة تفيض من عبق الصباح 🌹	joy	0.688
2018-Ar-03885	اليوم مشرق وجميل وأنا صاحية مودي حلو ومبسوطة وحاجة منتهى "البط يقوم فرحان من النوم" جدا 😂	joy	0.758
2018-Ar-01000	#بشوفگ حته #من_الجنه بشوفگ #ضحكه_وسط_دموع😍        \nكأنگ بنتي من ضلعي وحبگ #عشق_مش_ممنوع ✋💓.\n#TU	joy	0.578
2018-Ar-01539	الله يرضى عليك. \nبدل متقولي: (عيد سعيد)، قولي: قدَّامك 6 ليالي سعيدة، شدَّ حيلك فيها.	joy	0.438
2018-Ar-01330	مصر كله على الدائرة 😂 😍 😂 مش عارف امشى 🚚 🚚 🕥 - يشعر بالحماسة	joy	0.210
2018-Ar-03045	الناس الخلصوا امتحانات خلاص 📓\nمفيش دعوه حلوه ليهم في رمضان😍\n\n#حلم_الحياه🌜🌜	joy	0.500
2018-Ar-00625	و سيشهد التاريخ ان اي مصيبه ف العالم بيتحملها الإنقلاب ف مصر 😃\nالانقلاب شال فوق طاقته يرضي مين	joy	0.234
2018-Ar-00481	اول مرة حطيت مكياج بعرس خالي امي الحنونة مكيجتني بأيديها الحلوين الله على لمسات أيدين امي الحنونة لمسات حب و حنان❤️	joy	0.578
2018-Ar-04145	#افرحوا_المواطنين   المواطنة الكويتية اللي عليها قرض شنو وضعها؟ اذا كانت أرملة أو مطلقة وتعيل أسرة؟ هل تطل طول عمرها تدفع فوائد ربوية للبنك؟	joy	0.274
2018-Ar-00132	عامل الناس ب لطف و طيب فالكلمة الطيبة خير و الابتسامة خير حتى انصاتك لصديقك المهموم خير و الاجمل من هذا سعادة قلبك بعد ذلك كله❤️ 🙂	joy	0.406
2018-Ar-01687	و ليه أفرح لما ممكن أكتئب \nو ليه أتجوز لما أنا هنتحر 😂 \n#بهجت \n#ريح_المدام 2017 !	joy	0.145
2018-Ar-02490	#بهجة_٢٤ ٣٩ دكتورة فاتن 😍 😍 💚 إلهي يسعدها على اللطافة اللي تملكها تجيب السعادة و الله :)	joy	0.855
2018-Ar-04393	ثم #ضاقت فجأه بيگ ،، ثم #ربگ مش ناسيگ ،، ثم #فرحة فـ الطريق ،، ثم #تفرج بعد ضيق 😍✋🌸	joy	0.468
2018-Ar-04161	وانتي واسرتك الكريمة بخير و سرور اختي المحترمة 💜 🌹	joy	0.500
